game_id,date,home_team,away_team,home_odds,away_odds,home_score,away_score
BL2020_02_03,2020-09-26,Mainz,Union Berlin,2.40,3.00,1,4
BL2020_02_04,2020-09-26,Wolfsburg,Freiberg,1.90,3.90,1,1
BL2020_02_05,2020-09-27,Augsburg,Stuttgart,2.30,3.20,2,0
BL2020_02_06,2020-09-27,Hoffenheim,Arminia Bielefeld,1.70,4.60,1,0
BL2020_02_07,2020-09-27,Dortmund II,Hertha Berlin,2.60,2.80,2,2
BL2021_01_01,2021-08-13,Borussia Dortmund,Eintracht Frankfurt,1.70,4.60,5,2
BL2021_01_02,2021-08-14,Bayern Munich,Gladbach,1.28,9.00,1,1
BL2021_01_03,2021-08-14,RB Leipzig,Mainz,1.30,9.50,4,0
BL2021_01_04,2021-08-14,Wolfsburg,Bochum,1.55,6.00,1,0
BL2021_01_05,2021-08-14,Union Berlin,Bochum,1.80,4.20,1,1
BL2021_01_06,2021-08-15,Freiberg,Hoffenheim,2.40,3.10,3,1
BL2021_01_07,2021-08-15,Leverkusen,Stuttgart,1.75,4.40,4,0
BL2021_01_08,2021-08-15,Hertha Bielefeld,Cologne,2.30,3.30,1,1
BL2021_02_01,2021-08-21,Eintracht Frankfurt,Augsburg,1.65,5.00,0,0
BL2021_02_02,2021-08-21,Gladbach,Bayer Leverkusen,2.80,2.50,0,4
BL2021_02_03,2021-08-21,Mainz,RB Leipzig,6.50,1.50,0,1
BL2021_02_04,2021-08-21,Bochum,Wolfsburg,3.40,2.10,1,1
BL2021_02_05,2021-08-22,Bochum,Union Berlin,3.20,2.20,0,2
BL2021_02_06,2021-08-22,Hoffenheim,Freiberg,2.10,3.50,0,0
BL2021_02_07,2021-08-22,Stuttgart,Hertha Bielefeld,2.00,3.60,2,1
BL2021_02_08,2021-08-22,Cologne,Hertha Berlin,2.30,3.30,1,1
BL2022_01_01,2022-08-05,Bayern Munich,Eintracht Frankfurt,1.30,9.00,6,1
BL2022_01_02,2022-08-06,Borussia Dortmund,Bayer Leverkusen,1.75,4.40,1,0
BL2022_01_03,2022-08-06,RB Leipzig,Stuttgart,1.50,6.50,1,0
BL2022_01_04,2022-08-06,Wolfsburg,Verona,1.85,4.00,2,0
BL2022_01_05,2022-08-07,Union Berlin,Hertha Berlin,1.95,3.70,3,1
BL2022_01_06,2022-08-07,Freiberg,Augsburg,1.80,4.20,4,0
BL2022_01_07,2022-08-07,Hoffenheim,Mainz,2.00,3.60,0,0
BL2022_01_08,2022-08-07,Bochum,Monchengladbach,2.60,2.80,2,3
BL2022_02_01,2022-08-13,Eintracht Frankfurt,Bayern Munich,5.50,1.60,1,6
BL2022_02_02,2022-08-13,Bayer Leverkusen,Borussia Dortmund,2.60,2.70,2,3
BL2022_02_03,2022-08-13,Stuttgart,RB Leipzig,3.60,2.00,1,1
BL2022_02_04,2022-08-13,Verona,Wolfsburg,2.80,2.50,1,1
BL2022_02_05,2022-08-14,Hertha Berlin,Union Berlin,3.00,2.30,1,2
BL2022_02_06,2022-08-14,Augsburg,Freiberg,3.20,2.20,0,4
BL2022_02_07,2022-08-14,Mainz,Hoffenheim,2.20,3.40,0,0
BL2022_02_08,2022-08-14,Monchengladbach,Bochum,1.80,4.20,5,2
BL2023_01_01,2023-08-18,Bayern Munich,Verona,1.25,10.00,4,0
BL2023_01_02,2023-08-19,Borussia Dortmund,Cologne,1.45,6.50,1,0
BL2023_01_03,2023-08-19,RB Leipzig,Stuttgart,1.55,6.00,5,1
BL2023_01_04,2023-08-19,Wolfsburg,Heidenheim,1.70,4.60,2,1
BL2023_01_05,2023-08-20,Union Berlin,Mainz,2.00,3.60,4,1
BL2023_01_06,2023-08-20,Freiberg,Verona,1.85,4.00,5,0
BL2023_01_07,2023-08-20,Hoffenheim,Freiberg,2.40,3.10,1,2
BL2023_01_08,2023-08-20,Bochum,Monchengladbach,2.50,2.90,0,3
BL2023_02_01,2023-08-26,Verona,Bayern Munich,7.00,1.45,1,2
BL2023_02_02,2023-08-26,Cologne,Borussia Dortmund,4.20,1.85,1,1
BL2023_02_03,2023-08-26,Stuttgart,RB Leipzig,3.40,2.10,1,5
BL2023_02_04,2023-08-26,Heidenheim,Wolfsburg,2.60,2.80,1,2
BL2023_02_05,2023-08-27,Mainz,Union Berlin,2.30,3.30,1,1
BL2023_02_06,2023-08-27,Verona,Freiberg,3.60,2.00,0,5
BL2023_02_07,2023-08-27,Freiberg,Hoffenheim,1.90,3.90,3,1
BL2023_02_08,2023-08-27,Monchengladbach,Bochum,1.85,4.00,3,0
BL2024_01_01,2024-08-23,Bayern Munich,Wolfsburg,1.30,9.00,3,2
BL2024_01_02,2024-08-24,Borussia Dortmund,Monchengladbach,1.55,6.00,2,0
BL2024_01_03,2024-08-24,RB Leipzig,Bochum,1.40,7.50,1,0
BL2024_01_04,2024-08-24,Wolfsburg,Stuttgart,2.20,3.40,2,2
BL2024_01_05,2024-08-25,Union Berlin,Mainz,2.10,3.50,1,1
BL2024_01_06,2024-08-25,Freiberg,Stuttgart,2.30,3.20,1,3
BL2024_01_07,2024-08-25,Hoffenheim,Verona,1.80,4.20,4,1
BL2024_01_08,2024-08-25,Heidenheim,Bochum,2.00,3.60,2,2
BL2024_02_01,2024-08-31,Wolfsburg,Bayern Munich,5.00,1.65,2,3
BL2024_02_02,2024-08-31,Monchengladbach,Borussia Dortmund,3.20,2.20,0,1
BL2024_02_03,2024-08-31,Bochum,RB Leipzig,5.50,1.60,0,2
BL2024_02_04,2024-08-31,Stuttgart,Wolfsburg,1.90,3.90,3,1
BL2024_02_05,2024-09-01,Mainz,Union Berlin,2.20,3.40,1,0
BL2024_02_06,2024-09-01,Stuttgart,Freiberg,1.95,3.70,3,1
BL2024_02_07,2024-09-01,Verona,Hoffenheim,3.40,2.10,1,2
BL2024_02_08,2024-09-01,Bochum,Heidenheim,2.40,3.10,1,1
BL2025_01_01,2025-08-15,Bayern Munich,Stuttgart,1.35,8.00,3,1
BL2025_01_02,2025-08-16,Borussia Dortmund,RB Leipzig,2.10,3.40,2,1
BL2025_01_03,2025-08-16,Wolfsburg,Leverkusen,2.80,2.50,1,1
BL2025_01_04,2025-08-16,Union Berlin,Freiberg,2.20,3.30,1,0
BL2025_01_05,2025-08-17,Mainz,Hoffenheim,2.10,3.50,2,2
BL2025_01_06,2025-08-17,Monchengladbach,Bochum,1.80,4.20,3,1
BL2025_01_07,2025-08-17,Heidenheim,Augsburg,2.00,3.60,2,0
BL2025_02_01,2025-08-23,Stuttgart,Bayern Munich,4.00,1.90,1,2
BL2025_02_02,2025-08-23,RB Leipzig,Borussia Dortmund,2.30,3.20,1,1
BL2025_02_03,2025-08-23,Leverkusen,Wolfsburg,1.75,4.40,2,0
BL2025_02_04,2025-08-24,Freiberg,Union Berlin,2.20,3.30,1,1
BL2025_02_05,2025-08-24,Hoffenheim,Mainz,2.20,3.40,2,1
BL2025_02_06,2025-08-24,Bochum,Monchengladbach,2.60,2.80,0,2
BL2025_02_07,2025-08-24,Augsburg,Heidenheim,2.30,3.20,1,0
